Symbol,Company Name,Industry,Market Cap
EXR,Extra Space Storage,Equity Real Estate Investment Trusts ...,28100
F,Ford Motor Company,Automobiles,69390
FANG,Diamondback Energy,"Oil, Gas & Consumable Fuels",24450
FAST,Fastenal Company,Trading Companies & Distributors,31060
FB,Meta Platforms,Interactive Media & Services,558340
FBHS,Fortune Brands Home & Security,Building Products,11380
FCNCA,First Citizens BancShares,Banks,11310
FCX,Freeport-McMoRan,Metals & Mining,72900
FDS,FactSet Research Systems,Capital Markets,15610
FDX,FedEx,Air Freight & Logistics,56850
FE,FirstEnergy,Electric Utilities,24460
FERG,Ferguson,Industrial Distribution,32130
FFIV,F5 Networks,Communications Equipment,12260
FHN,First Horizon,Banks,12650
FICO,Fair Isaac,Software,13070
FIS,Fidelity National Information Services,IT Services,55150
FISV,Fiserv,IT Services,63470
FITB,Fifth Third Bancorp,Banks,30550
FLT,FleetCor Technologies,IT Services,17790
FMC,FMC Corporation,Chemicals,15240
FMS,Fresenius Medical Care AG & Co.,Health Care Providers & Services,17730
FMX,Fomento Economico Mexicano,Beverages,71100
FNF,Fidelity National Financial,Insurance,13330
FNV,Franco-Nevada,Metals & Mining,30250
FOX,Fox Corporation,Media,23140
FOXA,Fox Corporation,Media,23140
FRC,First Republic Bank,Banks,29610
FTNT,Fortinet,Software,53950
FTS,Fortis,Electric Utilities,22510
FTV,Fortive,Machinery,21760
FWONA,Liberty Media Formula One Group,Entertainment,13480
GD,General Dynamics,Aerospace & Defense,68120
GDDY,GoDaddy,IT Services,13480
GE,General Electric Company,Industrial Conglomerates,97990
GFI,Gold Fields,Metals & Mining,13780
GFS,GlobalFoundries,Semiconductors,32280
GGG,Graco,Machinery,12030
GIB,"CGI, Inc.",IT Services,19730
GILD,Gilead Sciences,Biotechnology,77570
GIS,General Mills,Food Products,41090
GLOB,Globant,Software,10520
GLPI,Gaming & Leisure Properties,Equity Real Estate Investment Trusts ...,11490
GLW,Corning,"Electronic Equipment, Instruments & C...",32860
GM,General Motors Company,Automobiles,63560
GMAB,Genmab,Biotechnology,21040
GNRC,Generac Holdings,Electrical Equipment,20250
GOLD,Barrick Gold,Metals & Mining,43060
GOOG,Alphabet,Interactive Media & Services,1751120
GOOGL,Alphabet,Interactive Media & Services,1753600
GPC,Genuine Parts Company,Distributors,17400
GPN,Global Payments,IT Services,36100
GRAB,Grab Holdings,Asset Management,12570
GRFS,Grifols,Biotechnology,10820
GRMN,Garmin,Household Durables,21320
GS,The Goldman Sachs Group,Capital Markets,112390
GSK,GlaxoSmithKline,Pharmaceuticals,102130
GWW,W.W. Grainger,Trading Companies & Distributors,24940
H,Hyatt Hotels,"Hotels, Restaurants & Leisure",10290
HAL,Halliburton Company,Energy Equipment & Services,30670
HAS,Hasbro,Leisure Products,12850
HBAN,Huntington Bancshares,Banks,21240
HCA,HCA Healthcare,Health Care Providers & Services,80580
HD,The Home Depot,Specialty Retail,338610
HDB,HDFC Bank,Banks,105770
HEI,HEICO,Aerospace & Defense,18170
HEI-A,HEICO,Aerospace & Defense,18070
HES,Hess Corporation,"Oil, Gas & Consumable Fuels",31590
HIG,The Hartford Financial Services Group,Insurance,22380
HLT,Hilton Worldwide Holdings,"Hotels, Restaurants & Leisure",38430
HMC,Honda Motor Company,Automobiles,48440
HNP,Huaneng Power International,Independent Power and Renewable Elect...,17640
HOLX,Hologic,Health Care Equipment & Supplies,18050
HON,Honeywell International,Industrial Conglomerates,128540
HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph...",21350
HPQ,HP Inc.,"Technology Hardware, Storage & Periph...",38290
HRL,Hormel Foods,Food Products,28070
HSBC,HSBC Holdings,Banks,126500
HSIC,Henry Schein,Health Care Providers & Services,11930
HST,Host Hotels & Resorts,Equity Real Estate Investment Trusts ...,12330
HSY,The Hershey Company,Food Products,43680
HTHT,Huazhu Group,"Hotels, Restaurants & Leisure",12430
HUBS,HubSpot,Software,23340
HUM,Humana,Health Care Providers & Services,55890
HWM,Howmet Aerospace,Aerospace & Defense,14180
HZNP,Horizon Therapeutics,Pharmaceuticals,22770
IBKR,Interactive Brokers Group,Capital Markets,24460
IBM,International Business Machines,IT Services,113490
IBN,ICICI Bank,Banks,62740
ICE,Intercontinental Exchange,Capital Markets,76240
ICL,ICL Group,Chemicals,14800
ICLR,ICON plc,Life Sciences Tools & Services,18460
IDXX,IDEXX Laboratories,Health Care Equipment & Supplies,45130
IEP,Icahn Enterprises,Industrial Conglomerates,15850
IEX,IDEX Corporation,Machinery,14630
IFF,International Flavors & Fragrances,Chemicals,31450
IHG,InterContinental Hotels Group,"Hotels, Restaurants & Leisure",11880
ILMN,Illumina,Life Sciences Tools & Services,50800
IMO,Imperial Oil,"Oil, Gas & Consumable Fuels",30920
INCY,Incyte,Biotechnology,15500
INFY,Infosys,IT Services,94140
ING,ING Group,Banks,36700
INTC,Intel,Semiconductors & Semiconductor Equipment,199580
INTU,Intuit,Software,131490
INVH,Invitation Homes,Equity Real Estate Investment Trusts ...,24070
IP,International Paper Company,Containers & Packaging,15890
IPG,The Interpublic Group of Companies,Media,13470
IQV,IQVIA Holdings,Life Sciences Tools & Services,43340
IR,Ingersoll Rand,Machinery,19190
IRM,Iron Mountain,Equity Real Estate Investment Trusts ...,15110
ISRG,Intuitive Surgical,Health Care Equipment & Supplies,108140
IT,Gartner,IT Services,22200
ITUB,Itau Unibanco Holding,Banks,47330
ITW,Illinois Tool Works,Machinery,66380
IX,ORIX Corporation,Diversified Financial Services,23160
J,Jacobs Engineering Group,Construction & Engineering,16530
JBHT,J.B. Hunt Transport Services,Road & Rail,21370
JCI,Johnson Controls International,Building Products,44190
JD,JD.com,Internet & Direct Marketing Retail,106650
JHX,James Hardie Industries,Construction Materials,14230
JKHY,Jack Henry & Associates,IT Services,13500
JLL,Jones Lang LaSalle,Real Estate Management & Development,11490
JNJ,Johnson & Johnson,Pharmaceuticals,445610
JNPR,Juniper Networks,Communications Equipment,11020
JPM,JPMorgan Chase & Co.,Banks,399700
K,Kellogg Company,Food Products,22190
KB,KB Financial Group,Banks,18250
KDP,Keurig Dr Pepper,Beverages,55140
KEP,Korea Electric Power,Electric Utilities,12740
KEY,KeyCorp,Banks,21540
KEYS,Keysight Technologies,"Electronic Equipment, Instruments & C...",28040
KHC,The Kraft Heinz Company,Food Products,48750
KIM,Kimco Realty,Equity Real Estate Investment Trusts ...,14630
KKR,KKR & Co.,Capital Markets,47580
KLAC,KLA Corporation,Semiconductors & Semiconductor Equipment,50050
KMB,Kimberly-Clark,Household Products,43520
KMI,Kinder Morgan,"Oil, Gas & Consumable Fuels",42720
KMX,CarMax,Specialty Retail,16660
KO,The Coca-Cola Company,Beverages,271270
KOF,Coca-Cola Femsa,Beverages,11050
KR,The Kroger Company,Food & Staples Retailing,43340
L,Loews,Insurance,15110
LAMR,Lamar Advertising Company,Equity Real Estate Investment Trusts ...,10900
LBRDA,Liberty Broadband,Media,22490
LBRDK,Liberty Broadband,Media,22740
LBTYA,Liberty Global,Media,13110
LBTYB,Liberty Global,Diversified Telecommunication Services,13060
LBTYK,Liberty Global,Media,13220
LCID,Lucid Group,Auto Manufacturers,37410
LDOS,Leidos Holdings,IT Services,15130
LEN,Lennar,Household Durables,25690
LEN-B,Lennar,Construction & Engineering,25750
LFC,China Life Insurance Company,Insurance,106210
LH,Laboratory Corporation of America Holdings,Health Care Providers & Services,25140
LHX,L3Harris Technologies,Aerospace & Defense,51530
LI,Li Auto,Automobiles,30320
LIN,Linde,Chemicals,144280
LKQ,LKQ Corporation,Distributors,12810
