Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,504973,INE149A01033,963.8,Holding Companies,56.5,0.5,15.5,52,26.1,24.7,996.2,,25.7,3.1,40,20.7,18098.9,10.4,910.4,768.5,3.2,66.3,67.3
Cholamandalam Investment & Finance Company Ltd.,CHOLAFIN,511243,INE121A01024,1128.9,Finance (including NBFCs),56.2,1.9,20.8,70.7,23.7,28.1,1214.6,2550,27.2,1.7,24.7,24.2,92841.3,0.4,1082.2,939.6,7.1,60,61.4
CIE Automotive India Ltd.,CIEINDIA,532756,INE536H01010,519.4,Auto Parts & Equipment,-1.9,-2.5,-1.6,13.3,-134.7,4.4,579.8,706.6,54.4,,10.7,16.1,19706,4.5,495.8,422.9,10.4,57.8,60.9
Cigniti Technologies Ltd.,CIGNITITEC,534758,INE675C01017,803.8,IT Consulting & Software,10.3,0.2,10.2,14.9,83.5,32.4,938,,36.4,,25.3,35.8,2194.4,-0.7,797.1,740.5,14.3,57,57.3
Cipla Ltd.,CIPLA,500087,INE059A01026,1245.4,Pharmaceuticals,6.1,1.3,12.5,21.6,11.3,5.4,1277.9,198.7,38.9,,17,17.8,100542.4,31.2,1143.5,1042.4,2.5,65.8,70.4
City Union Bank Ltd.,CUB,532210,INE491A01021,125.6,Banks,41.1,0.6,19.9,32.9,23.3,13.6,249.4,281.4,18.8,0.6,6.3,6.8,9299.6,-1.6,127.9,139.4,38.7,43.8,40.4
Clean Science & Technology Ltd.,CLEAN,543318,INE227W01023,1412.2,Specialty Chemicals,-8.2,2.2,31.5,41.6,29.2,35.1,2705,,65.2,,38.6,38.2,15003.7,18.1,1374.5,1449.2,28.7,64.6,62.7
CMS Info Systems Ltd.,CMSINFO,543441,INE925R01014,358.3,Other Financial Services,115.6,0.7,15.5,27.9,32.7,20.8,409.4,,27.7,,22.2,24.2,5607.8,-4.8,362.2,326.2,12.5,42.2,46.9
Coal India Ltd.,COALINDIA,533278,INE522F01014,236.9,Coal,65.4,0.3,20.3,25.4,62.3,27.4,447.1,-5.8,5.3,0.1,19.7,27.2,145995,-0.6,230.9,225.4,10.1,45.5,48.4
Cochin Shipyard Ltd.,COCHINSHIP,540678,INE704P01017,908.5,Marine Port & Services,10.9,-0.9,12.9,9.9,-46,-25.5,923,,27.4,,16.5,8,11950.4,59.5,709.3,572,1.6,72,75.5
Coffee Day Enterprises Ltd.,COFFEEDAY,539436,INE335K01011,52.7,Restaurants,66.5,,-42.4,-24,-214.9,56.4,374.9,,112,0.1,-1.7,-8.1,1113.3,2.3,39.4,40.1,28.3,67.8,65.8
Coforge Ltd.,COFORGE,532541,INE591G01017,5451.9,IT Consulting & Software,10.3,15,9.3,15.9,4.9,24.6,6135,1833.3,36.4,0.1,24.5,27.5,33315.1,133.5,4894.2,4415.4,1,61.3,65.9
Colgate-Palmolive (India) Ltd.,COLPAL,500830,INE259A01022,1939.4,Personal Products,6.7,8.9,20,29.3,-2.9,3,2062.1,222.3,57.5,,77.8,79.3,52748.9,16,1880.9,1690.2,6,50.1,50.6
Computer Age Management Services Ltd.,CAMS,543232,INE596I01012,2356.1,Capital Markets,-3.3,13.5,29.3,42.2,-0.6,7.7,4067.4,,22.1,,49.8,41.7,11547.9,17.7,2346.8,2284.8,12.4,47.7,46.3
Confidence Petroleum India Ltd.,CONFIPET,526829,INE552D01024,94.6,Oil Marketing & Distribution,-50.2,0.9,4,10.1,2.3,54.3,98.2,,10.9,0.4,13,10.4,2693.7,4.3,78.3,71.3,3.8,69.5,63.7
Container Corporation of India Ltd.,CONCOR,531344,INE111A01025,687,Warehousing and Logistics,8.4,13.9,14.1,22,11.3,7.4,828.8,209.1,55.2,,12.4,13.2,41858.5,-2.4,670.9,663.4,17.1,56.6,49.5
Control Print Ltd.,CONTROLPR,522295,INE663B01015,787.9,Commodity Printing/Stationery,100,0.8,17.4,24.7,31.8,19.2,794.7,,22.6,,16.9,20.5,1286.8,23.8,694.6,579.5,0.9,66.6,64.6
Coromandel International Ltd.,COROMANDEL,506395,INE169A01031,1111.4,Fertilizers,13,0.9,6.9,9.8,31.7,54.8,1118,469.5,26.3,,31.1,34.8,32715.2,23.2,1023.6,960.8,0.6,65.4,63.2
Cosmo First Ltd.,COSMOFIRST,508814,INE757A01017,721.6,Containers & Packaging,-54.8,-0.2,8,12.3,-38.5,1,1428,2303.1,27.8,0.4,29.3,16.9,1894.3,11.3,651.5,695.5,22,74.8,71.1
Craftsman Automation Ltd.,CRAFTSMAN,543276,INE00LO01017,4895.2,Auto Parts & Equipment,-1.9,1.1,7.9,21.4,52.3,43.6,5025.5,,54.4,0.7,19.8,22.4,10342.8,107.6,4516.9,3725.2,2.6,59.3,62.9
CreditAccess Grameen Ltd.,CREDITACC,541770,INE741K01010,1409.2,Finance (including NBFCs),56.2,0.2,23.3,66.5,127.5,29.1,1502,,27.2,,26,44.9,22417.6,9.9,1350.7,1146.8,6.2,51.3,55.7
Cressanda Solutions Ltd.,CRESSAN,512379,INE716D01033,24.2,IT Software Products,-27.4,,7,3,,,65,-51.7,104,,,6.9,996.2,-0.3,25.8,26.3,40.6,46.7,46.6
Crisil Ltd.,CRISIL,500092,INE007A01025,3925,Other Financial Services,115.6,4.1,20.4,25.2,21.2,21.6,4075,252.8,27.7,,34.2,39.7,28694.3,22,3860.1,3539.4,3.7,51.8,55.9
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,539876,INE299U01018,303,Household Appliances,-7.4,-1.8,6.9,11.1,-19.9,26.9,512.8,,76.9,0.2,23.3,18.4,19396.9,2.7,293.9,308.1,29.4,56.6,52.7
CSB Bank Ltd.,CSBBANK,542867,INE679A01013,327.2,Banks,41.1,1,23.6,26.8,19.4,15.3,374,,18.8,0.3,6,5.9,5677.3,9.4,302.6,271.4,2.6,66.6,66.6
Cummins India Ltd.,CUMMINSIND,500480,INE298A01020,1706,Industrial Machinery,-23.6,0.6,13.1,15.4,31.5,26,1980.2,333.7,50.3,,18.5,23.4,47290.3,-35.4,1789,1627.6,13.8,38.6,34.7
Cybertech Systems & Software Ltd.,CYBERTECH,532173,INE214A01019,128.2,IT Consulting & Software,10.3,-1.5,12.3,17,-4.5,24,245.4,684.4,36.4,,21.2,19.5,365.2,-1.2,128.4,131.3,25.2,55.8,52.1
Cyient Ltd.,CYIENT,532175,INE136B01020,1709.8,IT Consulting & Software,10.3,4.1,8.6,16.5,-1.5,31.2,1778.4,823.4,36.4,0.1,20.9,18.3,18932.3,31.4,1499.8,1224.2,3.9,63.9,67.5
D B Realty Ltd.,DBREALTY,533160,INE879I01012,150.2,Realty,30.1,0.3,-16.9,-88.9,-435.7,202.9,162.8,176,97.8,0.6,-0.7,-17.6,6299.8,18.5,107,87.7,7.8,75.6,75.6
Dabur India Ltd.,DABUR,500096,INE016A01026,553.4,Personal Products,6.7,-85.8,14.8,18.1,-1.8,6.1,659,239.3,57.5,,26.7,22.9,98055.5,-4,563.8,554.9,9.4,42.5,41.3
Dalmia Bharat Ltd.,DALBHARAT,542216,INE00R701025,2123.6,Cement & Cement Products,-27.3,-3.5,3.9,16.9,-9.5,19.6,2548.4,,65.2,0.2,6.7,5.4,39823,10.6,2020,1940.3,7.2,65.4,65.7
Dalmia Bharat Sugar and Industries Ltd.,DALMIASUG,500097,INE495A01022,376.4,Sugar,75.4,0.6,7.7,13.1,-14.8,8,569.5,2719.5,16.6,0.1,14.5,11.9,3046.6,-0.3,365.4,361.9,14.6,54.8,59.3
Data Patterns (India) Ltd.,DATAPATTNS,543428,INE0IX101010,2469.8,Defence,16.1,2.6,27.3,37.1,32,47,2485,,35.8,,22.9,13.2,13826.9,91.2,2077.6,1646,0.6,56.9,64.5
Datamatics Global Services Ltd.,DATAMATICS,532528,INE365B01017,565,IT Consulting & Software,10.3,0.7,12.7,16.2,20,22,678.7,2155.3,36.4,,20.8,22.5,3330.3,1.2,541.9,437.8,16.8,55.5,54.8
DB Corp Ltd.,DBCORP,533151,INE950I01011,227.6,Publishing,-22.6,1.7,7.9,14.9,18.6,21.2,447.7,-4.8,23,,10,11.4,4053,7,207.3,150.4,11.1,54.4,50
DCB Bank Ltd.,DCBBANK,532772,INE503A01015,117.2,Banks,41.1,0.2,11.1,17.1,61.9,16.3,244.6,186.7,18.8,1,6.9,6.6,3657.2,-1.2,118.4,113.8,17,49.1,46.8
DCM Nouvelle Ltd.,DCMNVL,542729,INE08KP01019,174.4,Textiles,-85.9,0.2,1.3,3.6,-90,-5.2,386.1,,31.3,0.3,49.6,6.3,325.7,6,156.9,160.2,15.7,77.4,59.6
DCM Shriram Industries Ltd.,DCMSRIND,523369,INE843D01027,135.2,Sugar,75.4,7.9,2.5,6,-9.2,10.3,150.8,,16.6,0.1,15.2,13.5,1176.6,4.7,115,90,10.3,58,51.4
DCM Shriram Ltd.,DCMSHRIRAM,523367,INE499A01024,1034.6,Specialty Chemicals,-8.2,-0.6,7.9,13.8,-14.7,20,1263.8,1885.7,65.2,0.2,23.6,18,16133,13.3,886.5,886,7.7,73.4,65.6
DCW Ltd.,DCW,500117,INE500A01029,54.2,Commodity Chemicals,30.6,-1.8,7.3,16.2,78.6,7.7,65.9,533.9,44.9,0.4,17.5,22.6,1599.7,2.3,48.1,47,13.3,68.5,64.2
DCX Systems Ltd.,DCXINDIA,543650,INE0KL801015,341.7,Defence,16.1,3.8,5.7,6.5,9.3,14.1,348.8,,35.8,,56.4,19.4,3305,14.8,273.9,221,2,71.1,72.6
Ddev Plastiks Industries Ltd.,543547,543547,INE0HR601026,211.8,Plastic Products,-18.8,0.1,4.2,6.3,90,12.5,244,,71.8,,27.8,33.3,2192.2,6.7,194.5,132.7,13.2,56.1,53.8
Deccan Cements Ltd.,DECCANCE,502137,INE583C01021,530.2,Cement & Cement Products,-27.3,-0.4,6.3,12.3,-43.7,-1.5,846.8,523.8,65.2,0.2,19.5,8.7,742.7,8.5,501,488.4,9.8,61.2,62.1
Deep Industries Ltd.,DEEPINDS,543288,INE0FHS01024,244,Oil Equipment & Services,176.2,0.1,36.7,37,73.7,8.1,281.8,,71.3,,8,7.6,1561.9,8.4,228.5,176.1,13.4,51.8,50.2
Deep Polymers Ltd.,541778,541778,INE00IY01012,92.6,Specialty Chemicals,-8.2,-0.8,8.3,12.4,,,458.6,,65.2,0.7,,13.2,213.3,0.2,93,112.1,48.6,50.4,52.2
Deepak Fertilisers & Petrochemicals Corporation Ltd.,DEEPAKFERT,500645,INE501A01019,603.8,Commodity Chemicals,30.6,-0.9,10.8,19,78.4,47.7,1062,608.2,44.9,0.6,18,23.4,7621.6,5.7,569.6,614.7,43.1,65.4,66.6
Deepak Nitrite Ltd.,DEEPAKNTR,506401,INE288B01029,2226,Commodity Chemicals,30.6,-1.7,10.7,16.1,-20.1,17.2,3020,9578.5,44.9,,39.9,27,30361.8,30.2,2050.4,2010.5,5.5,72.1,72.2
Delhivery Ltd.,DELHIVERY,543529,INE148O01028,438.2,Transportation - Logistics,-96.2,-1,-14.1,-6,0.3,7,708,,72,,-13.7,-9.9,32122,6.2,405.1,406.6,28,61.8,65.1
Delta Corp Ltd.,DELTACORP,532848,INE124G01033,182.7,Misc. Commercial Services,105.8,0.2,25.6,32.8,290.2,63.1,401.6,205,47.7,,5.4,14.5,4892.2,-5.5,196.6,208.8,29.7,39.3,38
Den Networks Ltd.,DEN,533137,INE947J01015,43.6,Broadcasting & Cable TV,-86.8,0.1,20.9,12.2,38,-7.7,246.5,-73.3,32.1,,5.7,4.4,2080.7,1,39.4,35.4,2.4,57.3,53.7
Devyani International Ltd.,DEVYANI,543330,INE872J01023,197,Restaurants,66.5,-5.4,8.8,21.6,69.5,44.3,215,,112,0.1,14.5,16.7,23761.4,0.1,192,179.2,3.8,50.7,52.7
Dhampur Bio Organics Ltd.,DBOL,543593,INE0I3401014,166.9,Sugar,75.4,0.5,4.6,8.5,9,56.2,229,,16.6,0.2,15.2,14.4,1108,-2.5,163,166.2,27.1,43.7,58.5
Dhampur Sugar Mills Ltd.,DHAMPURSUG,500119,INE041A01016,257.6,Sugar,75.4,-2.3,6.4,12.3,9.3,13.9,584.5,776.4,16.6,0.2,21.5,19.8,1710.5,-4.7,264.7,255.2,12.8,43.8,38.7
Dhani Services Ltd.,DHANI,532960,INE274G01010,47.2,Other Financial Services,115.6,-0.2,-79.1,-51.6,44.6,-49.5,819.8,362.7,27.7,,-10.6,-8.6,2889.3,1.9,39.9,42,34.4,65.5,69.6
Dhanuka Agritech Ltd.,DHANUKA,507717,INE435G01025,789.1,Agrochemicals,8.6,4.4,13.7,16,11.8,15.5,1053.9,488.2,39.9,,27.9,27.6,3596.6,5,769.7,728.1,3.5,58.7,58.1
Dharmaj Crop Guard Ltd.,DHARMAJ,543687,INE00OQ01016,217,Agrochemicals,8.6,,6.2,8.8,15.4,35.8,279,,39.9,0.1,36.4,13,733.4,7.6,194.6,,22.2,64.5,62.3
Dhunseri Ventures Ltd.,DVL,523736,INE477B01010,259.8,Other Financial Services,115.6,-0.3,-55.1,-0.2,51.1,-6.8,350,216.1,27.7,0.1,4.5,1.6,909.9,-3.1,260.8,248,13.1,49,46.5
DiGiSPICE Technologies Ltd.,DIGISPICE,517214,INE927C01020,34.2,IT Software Products,-27.4,,-2.1,-1.4,-479.8,3.1,114.7,-17.8,104,,5.9,-5.3,793.1,3.9,29.4,25.1,27.9,60.2,55.2
