Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
SBI Cards and Payment Services Ltd.,SBICARD,543066,INE018E01016,840.3,Finance (including NBFCs),56.2,2.4,16.5,29.6,39.7,26.4,1165,,27.2,0.8,35.7,24.2,79543.1,-11.1,849.5,834.5,14.5,37.2,33.8
SBI Life Insurance Company Ltd.,SBILIFE,540719,INE123W01016,1320.6,Life Insurance,405.4,3.8,2.1,2.5,14.2,-4,1374,,46,,1,0.7,132192.3,0.6,1283.2,1229.9,3.9,52.5,49.2
Schaeffler India Ltd.,SCHAEFFLER,505790,INE513A01022,3157.6,Auto Parts & Equipment,-1.9,4,12.8,18.6,39.8,23.3,3969.8,1215.7,54.4,,22.8,26.9,49354.5,-3.3,3042,2902.9,20.5,58.1,51
Schneider Electric Infrastructure Ltd.,SCHNEIDER,534139,INE839M01018,355.4,Heavy Electrical Equipment,74.7,0.7,7,9.4,347.6,16.2,361.2,508.1,80.4,5.1,17.2,27.6,8499,17.4,296.1,223.9,1.6,68.7,74.3
Seamec Ltd.,SEAMECLTD,526807,INE497B01018,638,Shipping,180,-0.7,7.7,27.6,-60.3,15.6,1424.9,1411.8,25.1,0.1,10.5,4,1622.1,-21.5,686.6,754.7,49.6,36.2,36.2
SEPC Ltd.,SEPC,532945,INE964H01014,14.3,Construction & Engineering,43.8,0.6,-1.3,-16.6,98.1,17.1,49.6,-61.2,32.4,0.2,-4.3,-3.7,1961.1,0.5,13,11.3,10.1,56.2,52.4
Sequent Scientific Ltd.,SEQUENT,512529,INE807F01027,92.6,Pharmaceuticals,6.1,,-8.6,0.8,-393.7,0.3,336.5,,38.9,0.3,7.4,-3.7,2308.5,0.5,89.3,89.2,25.5,54.8,53.9
Seshasayee Paper & Boards Ltd.,SESHAPAPER,502450,INE630A01024,320.8,Paper & Paper Products,167.6,,18.5,25.3,259.8,54.1,347.9,781.5,21.8,,9.9,28.8,2023.5,9.8,285.6,271,7.8,67.2,64.9
Shaily Engineering Plastics Ltd.,SHAILY,501423,INE151G01010,1737.6,Plastic Products,-18.8,10,5.8,15,-0.3,6.1,2390,,71.8,0.2,13,13,1594,76.7,1503.8,1476.2,17.2,59.3,62.1
Shakti Pumps (India) Ltd.,SHAKTIPUMP,531431,INE908D01010,857.4,Industrial Machinery,-23.6,-1.3,2.5,6.9,-62.8,-18,927.7,1958.6,50.3,,23.5,11.8,1575.9,33.7,675.6,553.9,7.6,77.4,75.4
Shalby Ltd.,SHALBY,540797,INE597J01018,244.8,Healthcare Facilities,17.7,1.5,8.4,16.5,25.1,16.3,274.4,,63.6,0.1,8.8,10.2,2644.6,12.4,192.9,160.5,2.6,72.9,79.6
Shalimar Paints Ltd.,SHALPAINTS,509874,INE849C01026,160.4,Furniture-Furnishing-Paints,21.2,-1,-7.4,-3,43.7,35.9,320.6,194.2,63.5,,-6.7,-5.4,1158,2.2,156,150.6,10.9,60.7,57
Shankara Building Products Ltd.,SHANKARA,540425,INE274V01019,905.6,Iron & Steel Products,7.9,0.4,1.6,2.9,83.7,66.7,2364.8,,45.6,,11.6,15.9,2069.3,32.6,786.1,719.7,1.2,65.6,63
Shanthi Gears Ltd.,SHANTIGEAR,522034,INE631A01022,492.2,Auto Parts & Equipment,-1.9,1,15,19.7,57.9,32,497.8,876.5,54.4,,22.5,29.8,3775.6,-0.3,450,394.8,1.1,46.9,51.6
Sharda Cropchem Ltd.,SHARDACROP,538666,INE221J01015,449.7,Agrochemicals,8.6,-0.6,8.4,15.7,-2.1,13.2,769.2,,39.9,,22.7,18.3,4057.2,-8.7,464,482.9,22.5,52,52.8
Sharda Motor Industries Ltd.,SHARDAMOTR,535602,INE597I01028,1016.4,Auto Parts & Equipment,-1.9,0.5,7.6,10.3,39.6,20,1066.2,,54.4,,36.6,35.1,3022.1,27.4,844.3,772,4.7,74.3,77.5
Share India Securities Ltd.,SHAREINDIA,540725,INE932X01018,1403.6,Other Financial Services,115.6,0.2,30.4,44.8,63.5,26.3,1475,,27.7,,62.7,47.5,4585.6,34.5,1268.8,1221.4,2.4,72.4,74.8
Sheela Foam Ltd.,SFL,540203,INE916U01025,1129.4,Furniture-Furnishing-Paints,21.2,-3.9,7.1,10,-7.4,-3.3,2027.5,,63.5,0.2,17.3,14.5,11019.1,-15.5,1138.9,1184.5,34,39.9,45.9
Shilpa Medicare Ltd.,SHILPAMED,530549,INE790G01031,370.5,Pharmaceuticals,6.1,0.7,-2.6,9.6,-153.5,-8,786.9,335.8,38.9,0.2,6.1,1.1,3216,11.2,330.5,306,12.8,58.4,62.4
Shiva Cement Ltd.,SHIVACEM,532323,INE555C01029,49,Cement & Cement Products,-27.3,0.1,,-1159.4,-215.3,-52.2,67,2244.5,65.2,-14.7,-4.4,-8.9,955.5,-0.1,48,49,22,63.9,55.7
Shivalik Bimetal Controls Ltd.,SBCL,513097,INE386D01027,576.5,Other Industrial Goods,-9.1,2,16.6,22.7,43.5,45.8,750,,39.6,0.1,34.2,36.8,3320.9,-16.2,595.5,517.7,23.1,51.1,50.8
Shivalik Rasayan Ltd.,SHIVALIK,539148,INE788J01021,767,Agrochemicals,8.6,-1.9,12.7,18,16.5,9.5,1195,,39.9,,10.5,8.3,1143.6,-7.9,775.6,765.6,26.5,49.9,45
Shoppers Stop Ltd.,SHOPERSTOP,532638,INE498B01024,724.6,Department Stores,-845.3,2.2,2.9,17,346.8,51.8,888.5,109.9,111.2,0.1,4.4,16.8,7961.5,-19,777.8,712.3,18.4,30.8,35.1
Shree Cements Ltd.,SHREECEM,500387,INE070A01015,24139.4,Cement & Cement Products,-27.3,-2.6,7.1,16.2,-45.5,17.7,32048,571.3,65.2,,16.3,9,87096.5,-56,24142.6,24218.8,10.8,51.3,46
Shree Digvijay Cement Company Ltd.,SHREDIGCEM,502180,INE232A01011,97.3,Cement & Cement Products,-27.3,1.6,8,13.8,5.1,15.9,101.4,,65.2,,26.3,21.2,1414,3,87.4,77.3,4,60.4,62.2
Shree Pushkar Chemicals & Fertilisers Ltd.,SHREEPUSHK,539334,INE712K01011,217.6,Specialty Chemicals,-8.2,-0.5,5.4,9.9,-33,17,336.7,,65.2,,16.8,12.2,688,7,196.3,191.9,22,63.6,64.3
Shree Renuka Sugars Ltd.,RENUKA,532670,INE087H01022,47.1,Sugar,75.4,,-2.2,6.2,-42.2,40.1,68.8,207.8,16.6,-3.5,10.8,17.1,10025.2,0.3,45.3,46.4,31.5,60.1,55.2
Shreyas Shipping & Logistics Ltd.,SHREYAS,520151,INE757B01015,338.3,Shipping,180,-0.1,40.7,48.9,-6.7,-7.1,839.7,1550.2,25.1,0.5,26.9,17.9,742.8,-2.6,341.6,319.5,17.9,43.4,44.6
Shriram Finance Ltd.,SHRIRAMFIN,511218,INE721A01013,1912,Finance (including NBFCs),56.2,0.2,19.7,71.2,120.9,58.3,1939,268.8,27.2,2,14.1,16.2,71744,29.6,1769.2,1509.5,1.4,62.3,68.4
Shriram Properties Ltd.,SHRIRAMPPS,543419,INE217L01019,95.7,Realty,30.1,1.3,9.7,5.3,574.5,57.2,115.8,,97.8,0.1,14.6,13.6,1627.1,5.7,73.6,70.7,0.8,77.8,79.7
Shyam Metalics and Energy Ltd.,SHYAMMETL,543299,INE810G01011,481,Iron & Steel/Interm.Products,-69.2,-0.3,6.7,11.7,-50.3,21.7,489,,43.5,,38.1,13.8,12269.4,21.7,412.8,344.6,1.6,76.5,68.7
Siemens Ltd.,SIEMENS,500550,INE003A01024,3887,Heavy Electrical Equipment,74.7,1,9.6,10.7,41.5,18.6,4068.8,798.3,80.4,,12.9,14.4,138425.7,35.5,3724.2,3397.7,4.5,61.9,65.6
Sigachi Industries Ltd.,SIGACHI,543389,INE0D0K01014,364.2,Commodity Chemicals,30.6,-5.2,14.4,19,8.7,22.1,634,,44.9,,22.4,19.6,1119.6,17.5,325.2,290.5,6.9,66.9,63.8
Sintex Plastics Technology Ltd.,SPTL,540653,INE501W01021,1.2,Containers & Packaging,-54.8,,-18038.3,-17370.8,-291.6,146.1,136.5,,27.8,,-36.4,271.7,73.2,-0.1,1.4,2.6,70.1,39.6,39.6
Sirca Paints India Ltd.,SIRCA,543686,INE792Z01011,418.2,Furniture-Furnishing-Paints,21.2,1.8,17.2,22.6,66.3,33.3,433.6,,63.5,,16.9,23.4,2292.4,11.4,379,334.9,3.6,59.5,60.2
SIS Ltd.,SIS,540673,INE285J01028,465.2,Misc. Commercial Services,105.8,14.9,3,4.3,6.6,12.5,699,,47.7,0.3,14.8,11.3,6780.2,8.6,439.2,412.6,2.8,58.6,63.4
Siyaram Silk Mills Ltd.,SIYSIL,503811,INE076B01028,534.3,Textiles,-85.9,-5.8,11.2,16.2,16.1,17.2,790,1340.6,31.3,,29.3,28.7,2504.3,-4.4,538.5,517.4,9.7,39.9,46.4
SJS Enterprises Ltd.,SJS,543387,INE284S01014,699.7,Auto Parts & Equipment,-1.9,2.7,15.5,24.1,22.2,18.5,713,,54.4,,20,21,2171.7,14.1,610.5,519.2,1.9,64.9,66.6
SJVN Ltd.,SJVN,533206,INE002L01015,63.2,Electric Utilities,15.7,-1.3,46.1,67.9,37.3,24.6,65.3,227.7,44.8,1,7.5,7.8,24856,2.6,52.6,41.3,3.1,68.1,68.7
SKF India Ltd.,SKFINDIA,500472,INE640A01023,5141,Other Industrial Goods,-9.1,2,12.2,17.2,32.9,17.7,5535,975,39.6,,27.6,30.8,25416.3,9.5,5036.9,4657.3,7.1,55.7,57.3
Skipper Ltd.,SKIPPER,538562,INE439E01022,241.8,Construction & Engineering,43.8,0.9,1.6,9.7,41.4,16,292.3,,32.4,0.2,12.3,13.5,2482.1,11.3,179.4,134.2,5.2,68.5,63.3
SMC Global Securities Ltd.,SMCGLOBAL,543263,INE103C01036,78.1,Capital Markets,-3.3,-0.2,9.9,22.1,-31.2,8.9,109,,22.1,0.1,26.5,23.6,817.7,0.9,75.5,76.3,14,61.5,55.6
SML Isuzu Ltd.,SMLISUZU,505192,INE294B01019,1304.2,Commercial Vehicles,145.2,0.2,1.1,4.5,119.9,96.2,1671,390.6,32.4,0.1,-35.4,16.8,1887.5,60.2,1190.6,966.2,7,69.5,68.8
SMS Pharmaceuticals Ltd.,SMSPHARMA,532815,INE812G01025,128.6,Pharmaceuticals,6.1,-1.8,0.7,10.3,-111.3,0.4,198.8,697.8,38.9,0.3,13.2,4.4,1088.6,5.1,114.8,95.3,8.1,63,60.7
Snowman Logistics Ltd.,SNOWMAN,538635,INE734N01019,54.8,Transportation - Logistics,-96.2,0.2,3.2,20.8,699.1,46.5,134.6,,72,0.2,3.4,6.8,914.8,1.3,48.8,41.4,2.8,60.8,63.4
Sobha Ltd.,SOBHA,532784,INE671H01015,610.2,Realty,30.1,-7.7,3.1,10.9,-10.8,20.6,1045,144.3,97.8,0.2,27.7,12.4,5787.5,7.9,574.4,568,18.7,64.5,64.6
Solar Industries India Ltd.,SOLARINDS,532725,INE343H01029,4753.4,Other Industrial Products,16.5,1,11.7,18.5,71.6,75.3,4980,2771.4,64.1,0.2,27.5,35,43013.1,263.9,4117.6,3830.1,4.6,91.1,84.3
Solara Active Pharma Sciences Ltd.,SOLARA,541540,INE624Z01016,358.5,Pharmaceuticals,6.1,-0.6,-1.5,9.1,61.9,13.8,1860,,38.9,0.2,-0.6,2.5,1290.5,-5.9,376.6,408,27.6,43.8,40
Somany Ceramics Ltd.,SOMANYCERA,531548,INE355A01028,719.2,Furniture-Furnishing-Paints,21.2,-1.2,2.7,7.6,-19.4,18.3,977.6,927.4,63.5,0.2,14,11.3,3054.7,-4,698.2,627.7,12.2,51.4,54.1
Sona BLW Precision Forgings Ltd.,SONACOMS,543300,INE073K01018,592.2,Auto Parts & Equipment,-1.9,3.7,14.8,25.9,9.3,24.9,839.9,,54.4,,19.8,21.1,34671.2,9.3,558.8,517,5.4,54.4,60.7
Sonata Software Ltd.,SONATSOFTW,532221,INE269A01021,1042.6,IT Consulting & Software,10.3,1.9,6.1,8,20,33,1094.7,5472.7,36.4,0.2,41,28.1,14619.2,-0.5,1015.1,854.1,4.8,48.8,55.9
South Indian Bank Ltd.,SOUTHBANK,532218,INE683A01023,23.2,Banks,41.1,,10.7,18.7,1630.3,5.6,35,18.9,18.8,1,5.7,5.4,4865.6,0.8,21,17.7,8.3,62.2,62.6
Spandana Sphoorty Financial Ltd.,SPANDANA,542759,INE572J01011,819.4,Finance (including NBFCs),56.2,0.1,0.9,27.8,-82.3,-0.2,1397,,27.2,1.1,12.8,7.3,5819.3,10.1,773.4,658.6,5.1,50.3,57
Speciality Restaurants Ltd.,SPECIALITY,534425,INE247M01014,212.5,Restaurants,66.5,0.1,25.8,19.2,1086,49.7,282.6,75,112,,10.8,17.5,1010.6,-4.9,217.1,216.1,24.8,38.4,40
Spencers Retail Ltd.,SPENCERS,542337,INE020801028,61.4,Department Stores,-845.3,,-8.6,0.1,-73.2,4.6,203.1,,111.2,-1.2,-3,-12.4,553.4,-0.2,61.3,64.4,26.9,56.2,52
Spicejet Ltd.,SPICEJET,500285,INE285B01017,31.1,Airlines,81.5,,,,,,156.9,66.5,24.4,,-125.7,,1869.3,0.2,30.7,33.9,33.9,54.1,49.1
Sportking India Ltd.,SPORTKING,539221,INE885H01011,857.2,Textiles,-85.9,-0.2,6,12.6,-67.8,1.8,1123,,31.3,0.4,61.7,19,1089.2,9.3,806.5,767.8,9.7,58.2,56.3
Sree Rayalaseema Hi-Strength Hypo Ltd.,SRHHYPOLTD,532842,INE917H01012,605.4,Commodity Chemicals,30.6,0.4,9.3,10.6,50.1,31.8,951.9,2896.8,44.9,,24,25.2,1039.1,-35.3,658.6,590,36.4,40.5,38.9
SRF Ltd.,SRF,503806,INE647A01010,2384,Specialty Chemicals,-8.2,-4.1,14.5,23.6,14.5,19.1,2865,8700.5,65.2,0.2,23.8,21.9,70669.2,24.7,2301.6,2337.9,16.8,68.7,64.6
Star Cement Ltd.,STARCEMENT,540575,INE460H01021,161.2,Cement & Cement Products,-27.3,2.2,9.2,17,0.3,22.2,170,,65.2,,11,15,6513.4,2,151.2,129.7,5.2,51.7,52
Star Health and Allied Insurance Company Ltd.,STARHEALTH,543412,INE575P01011,636.4,General Insurance,266.5,0.3,5.1,6.8,159.4,14.1,940,,30.5,0.1,-25.2,13.9,37037.4,0.8,614.4,605.3,18.4,54,58.6
State Bank of India,SBIN,500112,INE062A01020,569.6,Banks,41.1,0.1,16.1,19.8,57.3,16.3,629.6,275,18.8,1.6,4.8,5.3,508301.3,-5.6,579.6,565.8,9.5,41,37.4
State Trading Corporation Of India Ltd.,STCINDIA,512531,INE655A01013,115.5,Commodity Trading  & Distribution,130.3,0.2,,-55.8,136.6,-0.3,299,-10.8,95.1,,-0.7,-0.8,693,5.7,90.4,84,5.1,70.8,68.1
Steel Authority of India (SAIL) Ltd.,SAIL,500113,INE114A01011,97,Iron & Steel/Interm.Products,-69.2,-0.3,1.5,7.6,-82.2,1,151.3,109.6,43.5,0.1,22.2,5,40045.4,-0.4,88.5,86.4,0.6,59.2,56.5
Steel Exchange India Ltd.,STEELXIND,534748,INE503B01021,10.4,Iron & Steel/Interm.Products,-69.2,0.1,-4.2,6.9,-150.5,24.4,26.3,,43.5,0.4,12.3,10.3,1234.1,-0.9,12.9,14.2,39.7,24.6,32.5
Steel Strips Wheels Ltd.,SSWL,513262,INE802C01033,249.4,Auto Parts & Equipment,-1.9,-4.4,4.8,10.9,-5.7,13.4,262.9,2103.6,54.4,0.1,25.9,23.9,3904.2,5.6,222.3,184.6,5.1,63.9,65
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,542760,INE00M201021,378,Consulting Services,44.5,-0.3,-58.3,-53.2,-28.6,-59.8,753.4,,274.2,-3.1,-88.7,-211,7170.4,7.5,353.4,319,7.5,56.1,56.1
Sterling Tools Ltd.,STERTOOLS,530759,INE334A01023,375,Auto Parts & Equipment,-1.9,0.4,6.2,12.6,87.5,51.2,478,1775.2,54.4,0.1,9.8,14.6,1351.1,2.9,355.1,334.2,16.6,60.7,64.7
Sterlite Technologies Ltd.,STLTECH,532374,INE089C01029,168.4,Telecom Cables,8,0.1,1.8,12.8,127.6,19.8,415,822.7,29.6,0.5,7,18.6,6713.6,2.8,153.5,160.8,12.7,71.5,76.1
Stove Kraft Ltd.,STOVEKRAFT,543260,INE00IN01015,525.6,Houseware,1.4,-1.7,2.8,7.7,-36.4,12.8,1133.7,,72.2,,18.2,13.3,1736.2,14.8,491.9,492.6,29,60.4,58.9
Strides Pharma Science Ltd.,STAR,532531,INE939A01011,438.2,Pharmaceuticals,6.1,-0.7,2,11.4,56,18,1414,-49.9,38.9,0.5,-3.4,7.6,3957.9,0.1,428,381.7,10.4,52.4,55
Stylam Industries Ltd.,STYLAMIND,526951,INE239C01020,1796.6,Forest Products,25.7,0.6,10.1,16.2,57.6,42.9,1813.8,,54,,26.1,31.7,3044.9,25,1591.1,1369,0.9,56.5,62.6
Styrenix Performance Materials Ltd.,STYRENIX,506222,INE189B01011,1101.5,Specialty Chemicals,-8.2,-0.3,7.7,11.5,-43.3,8.9,1881,220.7,65.2,,47.9,32.2,1937.1,-3.8,1088.2,962.9,10.4,51.2,50
Subex Ltd.,SUBEXLTD,532348,INE754A01055,35.8,IT Software Products,-27.4,,-18.4,-10.7,-344,-16.6,74.4,668.8,104,,5.5,-5.9,2009.2,0.9,32.4,31.8,8.6,63.9,64.6
Subros Ltd.,SUBROS,517168,INE287B01021,411.4,Auto Parts & Equipment,-1.9,2.4,1.7,5.9,47.6,25.7,520.9,2036.9,54.4,,6.4,8.4,2683.5,-6.3,400.7,359,21,56.4,58.6
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,506655,INE659A01023,508.8,Specialty Chemicals,-8.2,0.1,1.9,9.1,-65.6,4.6,794,1551.8,65.2,0.5,14.6,7.2,3521.9,3.5,494.4,454.5,10.3,59.6,52.3
Sukhjit Starch & Chemicals Ltd.,SUKHJITS,524542,INE450E01011,393.6,Other Agricultural Products,8.9,-0.3,4.4,10.1,-13,24.7,617,368.7,33.2,0.2,19.9,17.2,615,-7.8,413.1,418.8,21.3,37.7,40.1
Sula Vineyards Ltd.,SULA,543711,INE142Q01026,491.8,Breweries & Distilleries,18.2,,16.3,30.3,61.2,21.7,535,,78.7,0.1,19.7,22.1,4151.2,6.7,480.9,,8.1,59.5,47.2
Sumitomo Chemical India Ltd.,SUMICHEM,542920,INE258G01013,439,Agrochemicals,8.6,-7.8,14.3,18.7,18.6,15,540.8,,39.9,,29.3,27.1,21910,3.6,416.4,429.5,18.8,72.8,71
Summit Securities Ltd.,SUMMITSEC,533306,INE519C01017,906.2,Investment Companies,-22.6,-0.7,73.5,92.8,-27.1,-32.6,1350,1840.6,34.8,,1.4,0.8,988,14.2,853.8,719.3,8,54.6,54.1
Sun Pharma Advanced Research Company Ltd.,SPARC,532872,INE232I01014,250.4,Pharmaceuticals,6.1,6.9,-93.2,-85.7,-9.4,73.3,598,103,38.9,,-174.9,-33,8124.4,3.8,223.2,213.3,5.8,67.8,71
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,524715,INE044A01036,1109,Pharmaceuticals,6.1,0.3,19.5,26.2,158.9,12.5,1200.8,112.8,38.9,,17.4,16,266086.3,3.4,1094.7,1017.9,5.2,48.6,47
Sun TV Network Ltd.,SUNTV,532733,INE424H01027,620.8,Broadcasting & Cable TV,-86.8,7.1,45.2,57.7,3.9,8,1097.8,59.2,32.1,,27.2,24.5,24464.8,25.7,529.8,483.9,1.2,77.5,78.2
Sundaram Finance Ltd.,SUNDARMFIN,590071,INE660A01013,2594.2,Finance (including NBFCs),56.2,0.7,23.2,75.5,12.3,7.7,2868,436.2,27.2,,9.9,32.3,28822.6,0.6,2578.4,2431.4,3.5,49.3,51.1
Sundram Fasteners Ltd.,SUNDRMFAST,500403,INE387A01021,1274.2,Auto Parts & Equipment,-1.9,19.8,8.8,15,8.3,15.5,1282,3686.6,54.4,,21.4,20.9,26774.6,9.3,1211.9,1082.3,0.6,56.7,60.5
Sunflag Iron & Steel Company Ltd.,SUNFLAG,500404,INE947A01014,204.6,Iron & Steel/Interm.Products,-69.2,-0.2,31.9,12.8,414,29.3,248.8,1170.8,43.5,0.1,14.8,9.2,3687.3,-3.1,201.5,159.6,17.8,48.7,44.7
Sunteck Realty Ltd.,SUNTECK,512179,INE805D01034,362.8,Realty,30.1,1.1,-1.5,16.4,-94.4,-26.8,589.9,131.7,97.8,0.2,3.4,2.6,5315,2.6,348.4,344.9,24.9,53.4,51
Suprajit Engineering Ltd.,SUPRAJIT,532509,INE399C01030,426.5,Auto Parts & Equipment,-1.9,86.5,5.5,11.2,-12.1,48.7,474.9,1202.3,54.4,0.2,20.1,15.8,5902.4,-2.4,404.4,378.1,4.5,53.3,59.7
Supreme Industries Ltd.,SUPREMEIND,509930,INE195A01028,4395.8,Plastic Products,-18.8,-4.5,7.7,13,-10.6,18.5,4704,1263.7,71.8,,25.8,21.2,55837.8,249,3777.7,3000.6,6.6,72,73.6
Supreme Petrochem Ltd.,SPLPETRO,500405,INE663A01033,489.8,Petrochemicals,10.6,-0.5,9.4,12.3,-24.9,5.6,512.5,1717.3,18.7,,56.8,35.5,9209.3,9.6,441.3,406,1.4,71.6,73.8
Supriya Lifescience Ltd.,SUPRIYA,543434,INE07RO01027,278.8,Pharmaceuticals,6.1,-0.5,19.5,27.4,-40.8,-12.5,601.9,,38.9,,33.3,17.5,2244.3,4.1,259.1,259.4,22.6,55.4,63.8
Surya Roshni Ltd.,SURYAROSNI,500336,INE335A01012,976.2,Iron & Steel Products,7.9,0.1,4.2,7.7,63.7,3.4,983.6,1500.2,45.6,,19.5,25.6,5311.1,30.4,820.5,713.8,0.8,77.5,71.8
Suryoday Small Finance Bank Ltd.,SURYODAY,543279,INE428Q01011,176.2,Banks,41.1,,6.6,26.3,183.5,23.7,296.4,,18.8,1.7,7.9,8.1,1870.6,0.7,173.2,141.2,9.4,49.3,44.8
Sutlej Textiles & Industries Ltd.,SUTLEJTEX,532782,INE645H01027,57.3,Textiles,-85.9,0.2,1.2,8.4,-75.2,-0.4,120,309.3,31.3,0.2,18.7,10.5,938.7,2.6,49.2,52.2,31.7,80.7,70.2
Suven Life Sciences Ltd.,SUVEN,530239,INE495B01038,65,Pharmaceuticals,6.1,0.4,-873.5,-572.5,3.1,28.1,338.5,79.4,38.9,,-121.8,-32.8,1418.6,0.4,63.8,63,23.4,51.6,48.1
Suven Pharmaceuticals Ltd.,SUVENPHAR,543064,INE03QK01018,514.5,Pharmaceuticals,6.1,-4.4,30.7,40.9,-9.4,-1.8,631.8,,38.9,,39.1,31.3,13097.4,5.9,498.1,484.2,3.8,55,57.3
Suzlon Energy Ltd.,SUZLON,532667,INE040H01021,25,Heavy Electrical Equipment,74.7,-0.8,48.4,13.9,1527.4,-9.3,36.8,320.2,80.4,1.4,29.1,21,31122.5,1.7,18.8,13.2,7.6,81.6,70.7
SVP Global Textiles Ltd.,SVPGLOB,505590,INE308E01029,9,Textiles,-85.9,,-24.6,4.5,-428.7,-46.4,164.8,,31.3,5.9,8.3,-2.4,113.2,-0.2,9.7,19.2,79.4,42.7,44.4
Swan Energy Ltd.,SWANENERGY,503310,INE665A01038,306.2,Commodity Trading  & Distribution,130.3,0.2,-4.2,16,61.3,193.2,379,511.2,95.1,1.7,0.1,2,8081.1,17.9,261.7,248.1,19.2,77.7,70.1
Swaraj Engines Ltd.,SWARAJENG,500407,INE277A01016,2018.2,Auto Parts & Equipment,-1.9,1.1,9.4,13,22,24.9,2424,342.5,54.4,,47.2,51.4,2451.3,-7.4,2019.2,1828,12.2,48.4,48.9
Symphony Ltd.,SYMPHONY,517385,INE225D01027,884.6,Consumer Electronics,-22.3,-2.5,9.8,11.2,-3.2,14.7,2209,490.8,117,0.1,17.6,16.2,6100.3,-0.3,887.2,928,27.4,46.8,51
Syncom Formulation (India) Ltd.,SYNCOMF,524470,INE312C01025,8.7,Pharmaceuticals,6.1,3.1,8.9,8.2,,,19.5,123.1,38.9,,,11.2,817.8,0.2,8.1,7.7,25.3,53.8,53.6
Syngene International Ltd.,SYNGENE,539268,INE398R01022,778.6,Pharmaceuticals,6.1,2.8,14.5,28.6,17.3,22.8,842.9,,38.9,0.1,12.4,13.8,31298.9,-2.7,775.4,688.4,7.6,44.6,44.4
Syrma SGS Technology Ltd.,SYRMA,543573,INE0DYJ01015,535.5,Other Electrical Equipment/Products,22,0.7,6,9,114.8,102.6,579.3,,63.4,0.1,13.9,11.9,9466.5,20.8,469.5,367.5,7.6,67.4,66
TAAL Enterprises Ltd.,TAALENT,539956,INE524T01011,2016,Airlines,81.5,4.3,19.6,26,-2.2,18.2,2524.8,,24.4,,45.7,35.2,628.2,0.6,1978.1,1826.4,13.8,48,50.4
Taj GVK Hotels & Resorts Ltd.,TAJGVK,532390,INE586B01026,237.2,Hotels,516.2,0.1,20.8,28.8,4336.8,80.7,286.2,327.1,54.7,0.1,6.4,20.9,1487.6,-5.4,244.7,220.4,17.1,46.5,47.2
Take Solutions Ltd.,TAKE,532890,INE142I01023,23.8,Pharmaceuticals,6.1,,-53.1,-9.6,87.2,-70.6,308.2,-17.5,38.9,0.1,-25.9,-22.2,352.8,0.8,18.2,19.9,17.3,79.4,83.6
Talbros Automotive Components Ltd.,TALBROAUTO,505160,INE187D01011,1050.8,Auto Parts & Equipment,-1.9,0.7,6.8,13.4,23.8,11.7,1163.5,2778.9,54.4,,18.7,17.8,1297.3,48.2,903.7,658,9.7,60.5,61.2
Tamil Nadu Newsprint And Papers Ltd.,TNPL,531426,INE107A01015,258.8,Paper & Paper Products,167.6,,7.5,19.2,2606.3,28.4,499,190.9,21.8,0.5,5,22.3,1791.2,11.8,231.3,225.8,8.8,66.6,60.8
Tamilnad Mercantile Bank Ltd.,TMB,543596,INE668A01016,546.9,Banks,41.1,0.3,25.2,33.4,25.2,1.2,581,,18.8,0.1,7.1,6.4,8660.2,25.9,471.1,462.4,5.9,65.3,68.6
Tamilnadu Petroproducts Ltd.,TNPETRO,500777,INE148A01019,89.6,Commodity Chemicals,30.6,-0.2,4.4,5.9,-46.3,19.3,150.8,1095.3,44.9,,29.3,14.4,806.6,1.8,81.1,84,19.7,79.1,72.9
Tanfac Industries Ltd.,TANFACIND,506854,INE639B01015,1898.4,Commodity Chemicals,30.6,0.5,15,19.5,5.3,18.3,2055,27413,44.9,,53.1,40.5,1893.7,28.8,1818.6,1464.3,7.6,62,62.5
Tanla Platforms Ltd.,TANLA,532790,INE483C01032,967.2,Internet Software & Services,-99.5,-2.7,13.3,17.4,-17,4.9,2096.8,33838.6,51.8,,48,35.6,13003.1,-39.1,1042.3,897.9,26.6,33.7,35.1
TARC Ltd.,TARC,543249,INE0EK901012,94.8,Realty,30.1,1.5,5.5,42.4,108.7,24.6,97.4,,97.8,1,-10.6,5.9,2797.5,5,75.8,57.3,2.7,64.6,69.2
Tarsons Products Ltd.,TARSONS,543399,INE144Z01023,526.7,Plastic Products,-18.8,-1.5,28.5,44,-19.8,-4.6,924.9,,71.8,0.1,27.3,17.1,2802.4,-22.5,562.8,608,42.4,23.6,26.5
